【東横イン梅田中津Ⅰ】 周辺店舗リスト
カテゴリ,店舗名（日本語）,店舗名（英語）,徒歩（分）,住所,電話番号,営業時間,価格帯,おすすめ,スポンサー,ハラール,ベジタリアン,Google Maps URL,ウェブサイト
レストラン,焼肉鷹ヶ巣阪急梅田店,焼肉鷹ヶ巣阪急梅田店,2,大阪府大阪市北区芝田１丁目７−２,+815058418186,,¥¥,,,,,https://maps.google.com/?q=焼肉鷹ヶ巣阪急梅田店+大阪,
レストラン,魚貝 日本酒 とよ新 阪急梅田,魚貝 日本酒 とよ新 阪急梅田,2,1 Chome-7-11 Shibata,,,¥¥,,,,,https://maps.google.com/?q=魚貝 日本酒 とよ新 阪急梅田+大阪,https://tabelog.com/osaka/A2701/A270101/27145190/
レストラン,串焼き&ワイン カッシーワ,串焼き&ワイン カッシーワ,2,大阪府大阪市北区芝田１丁目７−２,+815034681577,,¥¥,,,,,https://maps.google.com/?q=串焼き&ワイン カッシーワ+大阪,
レストラン,Entrata Chayamachi,Entrata Chayamachi,2,"Shibata, 1 Chome−7−2 阪急かっぱ横丁 1階",+81663743066,,¥¥,,,,,https://maps.google.com/?q=Entrata Chayamachi+大阪,
レストラン,肉とハーブ トラットリア ENTRATA 茶屋町,肉とハーブ トラットリア ENTRATA 茶屋町,2,北区芝田1-7-2,06-6374-3066,,¥¥,,,,,https://maps.google.com/?q=肉とハーブ トラットリア ENTRATA 茶屋町+大阪,https://entrata-chayamachi.com
レストラン,ピッコロ,ピッコロ,2,北区芝田町1-7-2,06-6373-0719,,¥¥,,,,,https://maps.google.com/?q=ピッコロ+大阪,http://www.piccolo.ne.jp
レストラン,酔鯨亭 大阪店,酔鯨亭 大阪店,2,北区芝田1-7-2,06-6373-0312,,¥¥,,,,,https://maps.google.com/?q=酔鯨亭 大阪店+大阪,http://www.kazuoh.com
レストラン,麺乃庄 つるまる饂飩 阪急かっぱ横丁,麺乃庄 つるまる饂飩 阪急かっぱ横丁,2,大阪府大阪市北区芝田１丁目７−２,+81662925514,,¥¥,,,,,https://maps.google.com/?q=麺乃庄 つるまる饂飩 阪急かっぱ横丁+大阪,http://www.fujiofood.com
レストラン,ぼてぢゅう かっぱ横丁店,ぼてぢゅう かっぱ横丁店,2,大阪府大阪市北区芝田１丁目７−２,+815053552515,,¥¥,,,,,https://maps.google.com/?q=ぼてぢゅう かっぱ横丁店+大阪,http://www.botejyu.co.jp/index1.html
レストラン,古潭老麺 かっぱ横丁店,古潭老麺 かっぱ横丁店,2,大阪府大阪市北区芝田１丁目７−２,+81663730718,,¥¥,,,,,https://maps.google.com/?q=古潭老麺 かっぱ横丁店+大阪,http://www.ramen-kotan.co.jp
レストラン,串揚げキッチン だん 梅田店,串揚げキッチン だん 梅田店,3,大阪府大阪市北区芝田１丁目６−１２,+81662921194,,¥¥,✓,,,,https://maps.google.com/?q=串揚げキッチン だん 梅田店+大阪,http://www.kitchen-dan.jp
